id,gitname,model_architecture,preds_dataset,run_message,abs_rel,rmse,ppd,abs_rel_std_err,rmse_std_err,ppd_std_err
38,Andrew Healey,unidepth,hypersim_processed/test,test4_unidepth_hypersim,0.2688061549557984,2.1700992810636373,302.7565899142927,0.0414043546750848,0.4158828860458691,60.22124319957102
39,Andrew Healey,patchrefiner,hypersim_processed/test,test4_patchrefiner_hypersim,0.3114286965484745,3.412060256144623,469.3241560838009,0.0271970003286132,0.6822647751676767,128.01928646108163
40,Andrew Healey,pixelperfectdepth,hypersim_processed/test,test4_ppd_hypersim,0.2593204051011639,2.1408015369021283,336.0564520213801,0.0420788383208896,0.4408355523715649,67.7098174528817
41,Andrew Healey,sharpdepth_ppd_controlnet_zoedepth,hypersim_processed/test,final_run_edge_loss_hypersim,0.312586369389065,3.916606434585748,906.6809033088908,0.0145073500965347,0.3955537879443385,100.26583720317682
42,Andrew Healey,sharpdepth_ppd_controlnet_unidepth,hypersim_processed/test,final_run_edge_loss_unidepth_hypersim,0.2584940244979449,2.727023975181864,439.9684310121796,0.0161700814173707,0.2999144820857133,51.86184331060012
43,Andrew Healey,zoedepth,hypersim_processed/test,final_run_zoedepth_hypersim,0.3171620035229676,3.948905247060548,948.5248915897324,0.0143097216324042,0.3975013819009181,103.84071266136836
44,Andrew Healey,unidepth,hypersim_processed/test,final_run_unidepth_hypersim,0.2695498440431902,2.876696111889827,483.2563929721933,0.0165878646970728,0.3155828232569343,53.69997773574818
45,Andrew Healey,patchrefiner,hypersim_processed/test,final_run_patchrefiner_hypersim,0.3104107370285146,3.73587634520904,491.2258749964728,0.0126161805139028,0.3243611339007832,57.93045813417554
46,Andrew Healey,pixelperfectdepth,hypersim_processed/test,final_run_ppd_hypersim,0.2578322004543984,2.704913626277646,469.0088104359308,0.0163557579096938,0.3050936270210502,52.55475537845348
47,Andrew Healey,sharpdepth_ppd_controlnet_zoedepth,nyu_v2_processed,final_run_edge_loss_nyuv2,0.076093463461717,0.3793234785770367,,0.0036787596859441,0.0209650428116036,
48,Andrew Healey,sharpdepth_ppd_controlnet_unidepth,nyu_v2_processed,final_run_edge_loss_unidepth_nyuv2,0.0532788260693806,0.2931127703233713,,0.0029922268000815,0.0184255038673332,
49,Andrew Healey,zoedepth,nyu_v2_processed,final_run_zoedepth_nyuv2,0.0769194262204923,0.361082507695884,,0.0027860022234392,0.018013994638087,
50,Andrew Healey,unidepth,nyu_v2_processed,final_run_unidepth_nyuv2,0.0344407589942979,0.2026569140127588,,0.0016592413901546,0.01123329527573,
51,Andrew Healey,patchrefiner,nyu_v2_processed,final_run_patchrefiner_nyuv2,0.0901532428441919,0.5672694960909329,,0.0041771641757216,0.0384201839382404,
52,Andrew Healey,pixelperfectdepth,nyu_v2_processed,final_run_ppd_nyuv2,0.0461673411585506,0.2729052138249581,,0.0024739329743408,0.017295155466079,
53,Andrew Healey,sharpdepth_ppd_controlnet_zoedepth,middlebury_processed,final_run_edge_loss_middlebury,0.4633401159925119,3.4407508386908936,,0.045220741754365,0.5571277348671989,
54,Andrew Healey,sharpdepth_ppd_controlnet_unidepth,middlebury_processed,final_run_edge_loss_unidepth_middlebury,0.3635020535209936,2.9493539860248763,,0.0499081905588821,0.5209324076773616,
55,Andrew Healey,zoedepth,middlebury_processed,final_run_zoedepth_middlebury,0.4766659470439855,3.443070275440637,,0.0437908761653742,0.5388001650209526,
56,Andrew Healey,unidepth,middlebury_processed,final_run_unidepth_middlebury,0.364894984254188,2.972869861627107,,0.050732604393587,0.5274673009942081,
57,Andrew Healey,patchrefiner,middlebury_processed,final_run_patchrefiner_middlebury,0.5126075882356856,3.72881687822964,,0.0475069241286268,0.5697930491290549,
58,Andrew Healey,pixelperfectdepth,middlebury_processed,final_run_ppd_middlebury,0.3635493415528065,2.9224110837008,,0.0483040561463962,0.5133844905739108,
59,Andrew Healey,unidepth,nyu_v2_processed,no_crop_unidepth_nyuv2,0.0252949585915225,0.1518555666817193,,0.0014038339107087,0.0122376568587904,
60,Andrew Healey,pixelperfectdepth,nyu_v2_processed,no_crop_ppd_nyuv2,0.0392821476217814,0.2245471069425949,,0.0033600673314536,0.0264723099219039,
61,Andrew Healey,unidepth,nyu_v2_processed,no_crop_unidepth_nyuv2,0.0252949585915225,0.1518555666817193,,0.0014038339107087,0.0122376568587904,
62,Andrew Healey,pixelperfectdepth,nyu_v2_processed,no_crop_ppd_nyuv2,0.0392821476217814,0.2245471069425949,,0.0033600673314536,0.0264723099219039,
63,Andrew Healey,unidepth,nyu_v2_processed,yes_crop_unidepth_nyuv2,0.0252949585915225,0.1518555666817193,,0.0014038339107087,0.0122376568587904,
64,Andrew Healey,pixelperfectdepth,nyu_v2_processed,yes_crop_ppd_nyuv2,0.0392821476217814,0.2245471069425949,,0.0033600673314536,0.0264723099219039,
65,Andrew Healey,unidepth,nyu_v2_processed,make_point_cloud_unidepth_nyuv2,0.0235226853763582,0.1445668454658144,,5.455188552005302e-06,0.0278173738762027,
66,Andrew Healey,pixelperfectdepth,nyu_v2_processed,make_point_cloud_ppd_nyuv2,0.0306739448045018,0.1949872470142188,,0.0064876905292631,0.0530547352965378,
67,Andrew Healey,unidepth,hypersim_processed/test,make_point_cloud_unidepth_hypersim,0.320231732570898,5.976460554616567,896.143148966189,0.1283553608693395,5.369750912331137,681.768640098168
68,Andrew Healey,pixelperfectdepth,hypersim_processed/test,make_point_cloud_ppd_hypersim,0.3084075639304462,6.128054600799628,904.5852696095404,0.124725499715104,5.572868369770738,737.0445397308421
69,Andrew Healey,sharpdepth_ppd_controlnet_unidepth,hypersim_processed/test,make_point_cloud_edge_loss_unidepth_hypersim,0.3524855446520543,6.2170981042085245,833.7567401965124,0.1646391025884047,5.636970831206858,694.0673408639336
70,Andrew Healey,unidepth,hypersim_processed/test,make_point_cloud_unidepth_hypersim,0.320231732570898,5.976460554616567,896.143148966189,0.1283553608693395,5.369750912331137,681.768640098168
